"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Q1","0mil","0mil","0mil","0mil","0mil","0mil","T","0",""
"Q2","0mil","70mil","0mil","70mil","0mil","70mil","T","0",""
"Q3","0mil","140mil","0mil","140mil","0mil","140mil","T","0",""
"Q4","0mil","210mil","0mil","210mil","0mil","210mil","T","0",""
"Q5","0mil","280mil","0mil","280mil","0mil","280mil","T","0",""
"Q6","0mil","350mil","0mil","350mil","0mil","350mil","T","0",""
"Q7","0mil","420mil","0mil","420mil","0mil","420mil","T","0",""
"Q8","0mil","490mil","0mil","490mil","0mil","490mil","T","0",""
"Q9","0mil","560mil","0mil","560mil","0mil","560mil","T","0",""
"Q10","0mil","630mil","0mil","630mil","0mil","630mil","T","0",""
"Q11","0mil","700mil","0mil","700mil","0mil","700mil","T","0",""
"Q12","0mil","770mil","0mil","770mil","0mil","770mil","T","0",""
"Q13","0mil","840mil","0mil","840mil","0mil","840mil","T","0",""
"Q14","0mil","910mil","0mil","910mil","0mil","910mil","T","0",""
"Q15","0mil","980mil","0mil","980mil","0mil","980mil","T","0",""
"Q16","0mil","1050mil","0mil","1050mil","0mil","1050mil","T","0",""
"Q17","0mil","1120mil","0mil","1120mil","0mil","1120mil","T","0",""
"Q18","0mil","1190mil","0mil","1190mil","0mil","1190mil","T","0",""
"Q19","0mil","1260mil","0mil","1260mil","0mil","1260mil","T","0",""
"Q20","0mil","1330mil","0mil","1330mil","0mil","1330mil","T","0",""
"Q21","0mil","1400mil","0mil","1400mil","0mil","1400mil","T","0",""
"Q22","0mil","1470mil","0mil","1470mil","0mil","1470mil","T","0",""
"Q23","0mil","1540mil","0mil","1540mil","0mil","1540mil","T","0",""
"Q24","0mil","1610mil","0mil","1610mil","0mil","1610mil","T","0",""
"Q25","0mil","1680mil","0mil","1680mil","0mil","1680mil","T","0",""
"Q26","0mil","1750mil","0mil","1750mil","0mil","1750mil","T","0",""
"Q27","0mil","1820mil","0mil","1820mil","0mil","1820mil","T","0",""
"Q28","0mil","1890mil","0mil","1890mil","0mil","1890mil","T","0",""
"Q29","0mil","1960mil","0mil","1960mil","0mil","1960mil","T","0",""
"Q30","0mil","2030mil","0mil","2030mil","0mil","2030mil","T","0",""
"Q31","0mil","2100mil","0mil","2100mil","0mil","2100mil","T","0",""
"Q32","0mil","2170mil","0mil","2170mil","0mil","2170mil","T","0",""
"Q33","0mil","2240mil","0mil","2240mil","0mil","2240mil","T","0",""
"Q34","0mil","2310mil","0mil","2310mil","0mil","2310mil","T","0",""
"Q35","0mil","2380mil","0mil","2380mil","0mil","2380mil","T","0",""
"Q36","0mil","2450mil","0mil","2450mil","0mil","2450mil","T","0",""
"Q37","0mil","2520mil","0mil","2520mil","0mil","2520mil","T","0",""
"Q38","0mil","2590mil","0mil","2590mil","0mil","2590mil","T","0",""
"Q39","0mil","2660mil","0mil","2660mil","0mil","2660mil","T","0",""
"Q40","0mil","2730mil","0mil","2730mil","0mil","2730mil","T","0",""
"Q41","70mil","0mil","70mil","0mil","70mil","0mil","T","0",""
"Q42","70mil","70mil","70mil","70mil","70mil","70mil","T","0",""
"Q43","70mil","140mil","70mil","140mil","70mil","140mil","T","0",""
"Q44","70mil","210mil","70mil","210mil","70mil","210mil","T","0",""
"Q45","70mil","280mil","70mil","280mil","70mil","280mil","T","0",""
"Q46","70mil","350mil","70mil","350mil","70mil","350mil","T","0",""
"Q47","70mil","420mil","70mil","420mil","70mil","420mil","T","0",""
"Q48","70mil","490mil","70mil","490mil","70mil","490mil","T","0",""
"Q49","70mil","560mil","70mil","560mil","70mil","560mil","T","0",""
"Q50","70mil","630mil","70mil","630mil","70mil","630mil","T","0",""
"Q51","70mil","700mil","70mil","700mil","70mil","700mil","T","0",""
"Q52","70mil","770mil","70mil","770mil","70mil","770mil","T","0",""
"Q53","70mil","840mil","70mil","840mil","70mil","840mil","T","0",""
"Q54","70mil","910mil","70mil","910mil","70mil","910mil","T","0",""
"Q55","70mil","980mil","70mil","980mil","70mil","980mil","T","0",""
"Q56","70mil","1050mil","70mil","1050mil","70mil","1050mil","T","0",""
"Q57","70mil","1120mil","70mil","1120mil","70mil","1120mil","T","0",""
"Q58","70mil","1190mil","70mil","1190mil","70mil","1190mil","T","0",""
"Q59","70mil","1260mil","70mil","1260mil","70mil","1260mil","T","0",""
"Q60","70mil","1330mil","70mil","1330mil","70mil","1330mil","T","0",""
"Q61","70mil","1400mil","70mil","1400mil","70mil","1400mil","T","0",""
"Q62","70mil","1470mil","70mil","1470mil","70mil","1470mil","T","0",""
"Q63","70mil","1540mil","70mil","1540mil","70mil","1540mil","T","0",""
"Q64","70mil","1610mil","70mil","1610mil","70mil","1610mil","T","0",""
"Q65","70mil","1680mil","70mil","1680mil","70mil","1680mil","T","0",""
"Q66","70mil","1750mil","70mil","1750mil","70mil","1750mil","T","0",""
"Q67","70mil","1820mil","70mil","1820mil","70mil","1820mil","T","0",""
"Q68","70mil","1890mil","70mil","1890mil","70mil","1890mil","T","0",""
"Q69","70mil","1960mil","70mil","1960mil","70mil","1960mil","T","0",""
"Q70","70mil","2030mil","70mil","2030mil","70mil","2030mil","T","0",""
"Q71","70mil","2100mil","70mil","2100mil","70mil","2100mil","T","0",""
"Q72","70mil","2170mil","70mil","2170mil","70mil","2170mil","T","0",""
"Q73","70mil","2240mil","70mil","2240mil","70mil","2240mil","T","0",""
"Q74","70mil","2310mil","70mil","2310mil","70mil","2310mil","T","0",""
"Q75","70mil","2380mil","70mil","2380mil","70mil","2380mil","T","0",""
"Q76","70mil","2450mil","70mil","2450mil","70mil","2450mil","T","0",""
"Q77","70mil","2520mil","70mil","2520mil","70mil","2520mil","T","0",""
"Q78","70mil","2590mil","70mil","2590mil","70mil","2590mil","T","0",""
"Q79","70mil","2660mil","70mil","2660mil","70mil","2660mil","T","0",""
"Q80","70mil","2730mil","70mil","2730mil","70mil","2730mil","T","0",""
"Q81","140mil","0mil","140mil","0mil","140mil","0mil","T","0",""
"Q82","140mil","70mil","140mil","70mil","140mil","70mil","T","0",""
"Q83","140mil","140mil","140mil","140mil","140mil","140mil","T","0",""
"Q84","140mil","210mil","140mil","210mil","140mil","210mil","T","0",""
"Q85","140mil","280mil","140mil","280mil","140mil","280mil","T","0",""
"Q86","140mil","350mil","140mil","350mil","140mil","350mil","T","0",""
"Q87","140mil","420mil","140mil","420mil","140mil","420mil","T","0",""
"Q88","140mil","490mil","140mil","490mil","140mil","490mil","T","0",""
"Q89","140mil","560mil","140mil","560mil","140mil","560mil","T","0",""
"Q90","140mil","630mil","140mil","630mil","140mil","630mil","T","0",""
"Q91","140mil","700mil","140mil","700mil","140mil","700mil","T","0",""
"Q92","140mil","770mil","140mil","770mil","140mil","770mil","T","0",""
"Q93","140mil","840mil","140mil","840mil","140mil","840mil","T","0",""
"Q94","140mil","910mil","140mil","910mil","140mil","910mil","T","0",""
"Q95","140mil","980mil","140mil","980mil","140mil","980mil","T","0",""
"Q96","140mil","1050mil","140mil","1050mil","140mil","1050mil","T","0",""
"Q97","140mil","1120mil","140mil","1120mil","140mil","1120mil","T","0",""
"Q98","140mil","1190mil","140mil","1190mil","140mil","1190mil","T","0",""
"Q99","140mil","1260mil","140mil","1260mil","140mil","1260mil","T","0",""
"Q100","140mil","1330mil","140mil","1330mil","140mil","1330mil","T","0",""
"Q101","140mil","1400mil","140mil","1400mil","140mil","1400mil","T","0",""
